x1,x2,x3
1.0,2.0,1.5
1.35,2.35,1.9500000000000002
1.6400000000000001,2.91,2.4200000000000004
1.9440000000000002,3.5500000000000007,2.8850000000000002
2.2705,4.222700000000001,3.3639000000000006
2.6161800000000004,4.924960000000001,3.8665200000000004
2.9797340000000005,5.661402000000002,4.3954640000000005
3.3616938000000007,6.435305800000001,4.951712600000001
3.763079320000001,7.248829280000002,5.536403160000002
4.184945832000001,8.103937720000001,6.150932100000002
4.628353670000001,9.002711307600002,6.796827321200002
5.0944018286400015,9.94736974888,7.4756969933600015
5.584244563432001,10.940256343496001,8.189226568752002
6.0990962072904,11.983834504554402,8.939185656784803
6.64023357023456,13.080692623758242,9.727434003222081
7.208998710191136,14.23355092282912,10.555926406127602
7.806802180274152,15.44526846647831,11.426717521461395
8.43512653557888,16.718850305696545,12.34196691554302
9.095530020483052,18.057454923832395,13.303944409688492
9.789650435976855,19.464402062459815,14.315035709517318
10.519209201432123,20.943180952439103,15.377748322590753
11.286015623462959,22.497458967218805,16.49471777739856
12.091971382915098,24.1310907181054,17.668714159498933
12.939075251028523,25.848127613765943,18.902648981309063
13.829428046398357,27.652827907731275,20.19958240264824
14.765237845010258,29.549667258865785,21.56273081993626
15.748825456271915,31.54334983100477,22.99547484286086
16.782630178623,33.63881995928609,24.501367678294056
17.869215848998124,35.841274412107175,26.084143942249433
19.011277201145443,38.15617527911691,27.747728921734307
20.211646548569536,40.589263517204415,29.49624830946611
21.473300808672263,43.146573188078904,31.334038435595218
22.799368885511438,45.83444642274989,33.265657021808856
24.193139429486585,48.659549150019586,35.295894484486276
25.65806899319584,51.6288876279942,37.42978581493704
27.197790603690468,54.74982581961237,39.672623066185444
28.816122772386255,58.030103655281906,42.029968477268234
30.51707896497633,61.477856227916405,44.50766826759406
32.30487755483085,65.1016339679753,47.11186713557447
34.18395228456793,68.9104238485415,49.84902349748328
36.158963261740595,72.91367167302526,52.725925504336544
38.23480851590901,77.12130550076786,55.74970787651515
40.41663614575959,81.54376026864045,58.92786959787977
42.709857086395864,86.1920036696999,62.26829251325969
45.120158528463875,91.07756335308049,65.77926087543736
47.65351802239177,96.21255551257751,69.46948189010506
50.31621830272189,101.6097149348221,73.34810730974536
53.1148628692999,107.28242658156715,77.42475612998803
56.05639236396218,113.24475878440846,81.70953844473067
59.148101783335854,119.5114981342635,86.21308051918349
62.39765857043898,126.0981861521346,90.9465511430196
65.81312162994837,133.02115783209925,95.92168932898666
69.40296131429271,140.29758215211484,101.15083342567229
73.17608043013655,147.94550465310434,106.64695171662326
77.14183631735148,155.98389219191898,112.423674581704
81.31006405522994,164.4326799791658,118.49532830045479
85.69110085349361,173.31282101855365,124.87697058128195
90.29581168858572,182.64633807036688,131.5844279045925
95.13561624882549,192.4563782679372,138.63433477248438
100.22251725524862,202.7672705225616,146.0441749623312
105.56913022836976,213.60458585923107,153.83232488657094
